created_at,mac,rssi,interface
2022-04-06 12:11:57.368496,D8:01:00:07:6B:5C,-85,ESP32_1
2022-04-06 12:11:57.486551,D8:01:00:07:6B:5C,-86,ESP32_3
2022-04-06 12:11:57.805880,DC:2C:6E:18:84:EB,-81,ESP32_7
2022-04-06 12:11:58.817332,DC:2C:6E:18:84:EB,-81,ESP32_7
2022-04-06 12:11:59.870126,D8:01:00:07:6B:5C,-83,ESP32_2
2022-04-06 12:12:01.806920,DC:2C:6E:18:84:EB,-81,ESP32_7
2022-04-06 12:12:02.851218,DC:2C:6E:18:84:EB,-84,ESP32_7
2022-04-06 12:12:03.904792,D8:01:00:07:6B:5C,-97,ESP32_1
2022-04-06 12:12:04.157247,D8:01:00:07:6B:5C,-91,ESP32_3
2022-04-06 12:12:04.195188,DC:2C:6E:18:84:EB,-93,ESP32_1
2022-04-06 12:12:04.929478,DC:2C:6E:18:84:EB,-94,ESP32_1
2022-04-06 12:12:06.339884,D8:01:00:07:6B:5C,-93,ESP32_5
2022-04-06 12:12:06.416397,D8:01:00:07:6B:5C,-83,ESP32_2
2022-04-06 12:12:06.822079,DC:2C:6E:18:84:EB,-77,ESP32_7
2022-04-06 12:12:07.717529,D8:01:00:07:6B:5C,-94,ESP32_1
2022-04-06 12:12:07.929000,DC:2C:6E:18:84:EB,-81,ESP32_7
2022-04-06 12:12:10.219832,D8:01:00:07:6B:5C,-81,ESP32_7
2022-04-06 12:12:10.226745,D8:01:00:07:6B:5C,-87,ESP32_5
2022-04-06 12:12:10.235497,D8:01:00:07:6B:5C,-86,ESP32_2
2022-04-06 12:12:10.354456,D8:01:00:07:6B:5C,-96,ESP32_8
2022-04-06 12:12:11.738525,DF:99:1C:50:22:47,-89,ESP32_7
2022-04-06 12:12:11.831614,DC:2C:6E:18:84:EB,-77,ESP32_7
2022-04-06 12:12:12.756478,D8:01:00:07:6B:5C,-93,ESP32_8
2022-04-06 12:12:12.762090,D8:01:00:07:6B:5C,-90,ESP32_7
2022-04-06 12:12:12.769593,D8:01:00:07:6B:5C,-84,ESP32_2
2022-04-06 12:12:16.683235,D8:01:00:07:6B:5C,-84,ESP32_8
