id,id_external,interface,ssid,mac,tx_rate,rx_rate,rx_signal,uptime,packets,bytes,tx_rate_set,created_at
18502717,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,144.4Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-72,15m3s50ms,"538,611","198269,188371","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:22:11.850509
18502747,*223BD,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,14.4Mbps-20MHz/2S/SGI,39Mbps-20MHz/1S,-65,54s800ms,"22,102","2249,8191","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:22:12.036243
18502769,*223BD,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,14.4Mbps-20MHz/2S/SGI,39Mbps-20MHz/1S,-65,1m4s800ms,"22,102","2249,8191","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:22:21.909458
18502774,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,144.4Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-69,15m13s60ms,"539,612","198325,188413","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:22:21.959231
18502863,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,144.4Mbps-20MHz/2S/SGI,24Mbps,-70,15m23s60ms,"539,612","198325,188413","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:22:32.128159
18502879,*223BD,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,28.8Mbps-20MHz/2S/SGI,6Mbps,-64,1m14s800ms,"28,103","2735,8233","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:22:32.183131
18502916,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,144.4Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-67,15m33s60ms,"543,615","198651,188635","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:22:41.936469
18502945,*223BD,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,28.8Mbps-20MHz/2S/SGI,6Mbps,-65,1m24s800ms,"32,104","3143,8275","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:22:42.052530
18502997,*223BD,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,7.2Mbps-20MHz/1S/SGI,6Mbps,-64,1m34s800ms,"39,104","3937,8275","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:22:51.986480
18503001,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,144.4Mbps-20MHz/2S/SGI,24Mbps,-70,15m43s60ms,"544,616","198707,188677","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:22:51.989106
18503055,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,144.4Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-70,15m53s70ms,"546,620","198819,188996","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:23:01.994633
18503065,*223BD,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,7.2Mbps-20MHz/1S/SGI,6Mbps,-64,1m44s820ms,"40,106","4018,8359","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:23:02.104525
18503121,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,144.4Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-72,16m3s60ms,"546,620","198819,188996","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:23:11.895800
18503148,*223BD,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,7.2Mbps-20MHz/1S/SGI,6Mbps,-64,1m54s800ms,"40,107","4018,8401","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:23:12.097476
